,filename,text,tokens,dictionary_word_count_textblob,catalog_number,token_count,dictionary_word_count,dict_word_or_stem_count,dict_word_or_stem_ratio,dict_word_ratio_textblob
19,BRIT277695_370-symbiota_data_14230183_primary_label_ocr.txt,"PLANTS OF TEXAS
HERBARIUM OF SOUTHERN METHODIST UNIVERSITY
Eupatorium odoratum
L.
SAN PATRICIO CO:
Lake Corpus Christi
State Park.
Whitish flowers.
R. J. Fleetwood
11,537
30 Oct 1974
","['PLANTS', 'OF', 'TEXAS', 'HERBARIUM', 'OF', 'SOUTHERN', 'METHODIST', 'UNIVERSITY', 'Eupatorium', 'odoratum', 'L.', 'SAN', 'PATRICIO', 'CO', ':', 'Lake', 'Corpus', 'Christi', 'State', 'Park', '.', 'Whitish', 'flowers', '.', 'R.', 'J.', 'Fleetwood', '11,537', '30', 'Oct', '1974']",23,BRIT277695,31,12,14,0.45161290322580644,0.7419354838709677
20,BRIT405749_370-symbiota_data_26817648_primary_label_ocr.txt,"Terry County
Schoenoplectus tabernaemontani (C.C. Gmel.) Palla
High Plains. Large saline lake called Mound Lake on
Private Ranch, at the end of County Road 201, W of Farm
Road 179, about 5 miles N of Interstate Hwy 380 more or
less between the towns of Brownfield and Tahoka.
Occasional in small stands in wet soils near an active
spring dominated by Distichlis spicata.
GPS - N 33.24040 W 102.07365 (WGS 84)
D.J. Rosen 4923
26 May, 2009
A.D. Caskey, W.C. Conway
","['Terry', 'County', 'Schoenoplectus', 'tabernaemontani', '(', 'C.C', '.', 'Gmel', '.', ')', 'Palla', 'High', 'Plains', '.', 'Large', 'saline', 'lake', 'called', 'Mound', 'Lake', 'on', 'Private', 'Ranch', ',', 'at', 'the', 'end', 'of', 'County', 'Road', '201', ',', 'W', 'of', 'Farm', 'Road', '179', ',', 'about', '5', 'miles', 'N', 'of', 'Interstate', 'Hwy', '380', 'more', 'or', 'less', 'between', 'the', 'towns', 'of', 'Brownfield', 'and', 'Tahoka', '.', 'Occasional', 'in', 'small', 'stands', 'in', 'wet', 'soils', 'near', 'an', 'active', 'spring', 'dominated', 'by', 'Distichlis', 'spicata', '.', 'GPS', '-', 'N', '33.24040', 'W', '102.07365', '(', 'WGS', '84', ')', 'D.J', '.', 'Rosen', '4923', '26', 'May', ',', '2009', 'A.D.', 'Caskey', ',', 'W.C.', 'Conway']",81,BRIT405749,96,47,54,0.5625,0.84375
21,BRIT439824_370-symbiota_data_26832210_primary_label_ocr.txt,"Herbarium of the University of North Carolina
NORTH CAROLINA
Cabarrus County
Asclepias viridiflora Raf.
waste ground, Midland.
Determined by C. R. Bell
Harry E. Ahles 16056
with R. S. Leisner
July 5, 1956
Collected for the ""Flora of the Carolinas""
","['Herbarium', 'of', 'the', 'University', 'of', 'North', 'Carolina', 'NORTH', 'CAROLINA', 'Cabarrus', 'County', 'Asclepias', 'viridiflora', 'Raf', '.', 'waste', 'ground', ',', 'Midland', '.', 'Determined', 'by', 'C.', 'R.', 'Bell', 'Harry', 'E.', 'Ahles', '16056', 'with', 'R.', 'S.', 'Leisner', 'July', '5', ',', '1956', 'Collected', 'for', 'the', '``', 'Flora', 'of', 'the', 'Carolinas', ""''""]",34,BRIT439824,46,22,22,0.4782608695652174,0.7391304347826086
22,BRIT449655_370-symbiota_data_24927421_primary_label_ocr.txt,"PLANTS OF TEXAS
HERBARIUM OF SOUTHERN METHODIST UNIVERSITY
Diodia teres Walt.
Nacogdoches Co.: Nacogdoches.
Sandy soil, end of Durst St.
H. E. Francis
Aug. 3, 195O
0. A. Warnick
","['PLANTS', 'OF', 'TEXAS', 'HERBARIUM', 'OF', 'SOUTHERN', 'METHODIST', 'UNIVERSITY', 'Diodia', 'teres', 'Walt', '.', 'Nacogdoches', 'Co.', ':', 'Nacogdoches', '.', 'Sandy', 'soil', ',', 'end', 'of', 'Durst', 'St.', 'H.', 'E.', 'Francis', 'Aug.', '3', ',', '195O', '0', '.', 'A.', 'Warnick']",25,BRIT449655,35,12,13,0.37142857142857144,0.7142857142857143
23,BRIT402592_370-symbiota_data_26826083_primary_label_ocr.txt,"UNIVERSITY OF TEXAS HERBARIUM (LL, TEA)
Amsonia ciliata Walter
var. texana (A. Gray) Coulter
Det. Justin Williams, 1992
The University of Texas Herbarium
Amsonia texana (Gray) Heller
David E. Lemke
1985
A-c-var. Kepana
CAS. 6/IVSI
PLANTS OF TEXAS
HERBARIUM OF SOUTHERN METHODIST UNIVERSITY
Amsonia ciliata Walt.
var. filifolia Woodson
Bosque Co.: 5 miles north of Meridian;
infrequent on hilly roadside.
Underground stems branching; the aerial stems
mostly simple, up to 3 dm. high.
V. L. CORY
55485
April 4, 1949
","['UNIVERSITY', 'OF', 'TEXAS', 'HERBARIUM', '(', 'LL', ',', 'TEA', ')', 'Amsonia', 'ciliata', 'Walter', 'var', '.', 'texana', '(', 'A', '.', 'Gray', ')', 'Coulter', 'Det', '.', 'Justin', 'Williams', ',', '1992', 'The', 'University', 'of', 'Texas', 'Herbarium', 'Amsonia', 'texana', '(', 'Gray', ')', 'Heller', 'David', 'E.', 'Lemke', '1985', 'A-c-var', '.', 'Kepana', 'CAS', '.', '6/IVSI', 'PLANTS', 'OF', 'TEXAS', 'HERBARIUM', 'OF', 'SOUTHERN', 'METHODIST', 'UNIVERSITY', 'Amsonia', 'ciliata', 'Walt', '.', 'var', '.', 'filifolia', 'Woodson', 'Bosque', 'Co.', ':', '5', 'miles', 'north', 'of', 'Meridian', ';', 'infrequent', 'on', 'hilly', 'roadside', '.', 'Underground', 'stems', 'branching', ';', 'the', 'aerial', 'stems', 'mostly', 'simple', ',', 'up', 'to', '3', 'dm', '.', 'high', '.', 'V.', 'L.', 'CORY', '55485', 'April', '4', ',', '1949']",81,BRIT402592,103,36,40,0.3883495145631068,0.7864077669902912
24,BRIT394923_370-symbiota_data_26811182_primary_label_ocr.txt,"PLA
OF TEXAS
HERBARIUM OF SOUTHWEST TEXAS JR. COLLEGE:
Sporobolus vaginaeflorus (Torr.) Wood
EDWARDS CO: 0.2 mi. down the nor th road from
the north entrance in a dry flat
limestone hill on Kickapoo St ate
Park site
3 October 1987
Toney Keeney
# 7341 UVST
","['PLA', 'OF', 'TEXAS', 'HERBARIUM', 'OF', 'SOUTHWEST', 'TEXAS', 'JR.', 'COLLEGE', ':', 'Sporobolus', 'vaginaeflorus', '(', 'Torr', '.', ')', 'Wood', 'EDWARDS', 'CO', ':', '0.2', 'mi', '.', 'down', 'the', 'nor', 'th', 'road', 'from', 'the', 'north', 'entrance', 'in', 'a', 'dry', 'flat', 'limestone', 'hill', 'on', 'Kickapoo', 'St', 'ate', 'Park', 'site', '3', 'October', '1987', 'Toney', 'Keeney', '#', '7341', 'UVST']",43,BRIT394923,52,27,27,0.5192307692307693,0.8269230769230769
25,BRIT526405_370-symbiota_data_24940414_primary_label_ocr.txt,"FLORA OF TEXAS
The Nature Conservancy of Texas
Cyperus
SAN PATRICIÓ CO.: rare on preserve, noted only
along fenceline between heavily grazed pasture on clay
soils and ungrazed grassy railroad right-of-way on
somewhat sandier soils, S side of tracks just W of corral
at N end of McGregor Ranch/ Nueces Delta Preserve,
ca. 3.0-3.1 airmiles SSW of jct. US 77 and F. M. 631 at
Odem. Odem Quadrangle. N27°55.097', W097º36.776'.
Elev. 15 ft.
Associates include Ambrosia psilostachya, Croton capitatus, Cynodon
dactylon, Gutierrezia texana, Helianthus praecox subsp. runyonii,
Lantana camara, L urticoides, Malvaviscus arboreus, Panicum
maximum, Salvia coccinea, Setaria sp.
W. R. Carr
#22296
2 Oct 2003
","['FLORA', 'OF', 'TEXAS', 'The', 'Nature', 'Conservancy', 'of', 'Texas', 'Cyperus', 'SAN', 'PATRICIÓ', 'CO.', ':', 'rare', 'on', 'preserve', ',', 'noted', 'only', 'along', 'fenceline', 'between', 'heavily', 'grazed', 'pasture', 'on', 'clay', 'soils', 'and', 'ungrazed', 'grassy', 'railroad', 'right-of-way', 'on', 'somewhat', 'sandier', 'soils', ',', 'S', 'side', 'of', 'tracks', 'just', 'W', 'of', 'corral', 'at', 'N', 'end', 'of', 'McGregor', 'Ranch/', 'Nueces', 'Delta', 'Preserve', ',', 'ca', '.', '3.0-3.1', 'airmiles', 'SSW', 'of', 'jct', '.', 'US', '77', 'and', 'F.', 'M.', '631', 'at', 'Odem', '.', 'Odem', 'Quadrangle', '.', 'N27°55.097', ""'"", ',', 'W097º36.776', ""'"", '.', 'Elev', '.', '15', 'ft.', 'Associates', 'include', 'Ambrosia', 'psilostachya', ',', 'Croton', 'capitatus', ',', 'Cynodon', 'dactylon', ',', 'Gutierrezia', 'texana', ',', 'Helianthus', 'praecox', 'subsp', '.', 'runyonii', ',', 'Lantana', 'camara', ',', 'L', 'urticoides', ',', 'Malvaviscus', 'arboreus', ',', 'Panicum', 'maximum', ',', 'Salvia', 'coccinea', ',', 'Setaria', 'sp', '.', 'W.', 'R.', 'Carr', '#', '22296', '2', 'Oct', '2003']",90,BRIT526405,132,50,54,0.4090909090909091,0.6818181818181818
26,BRIT369576_370-symbiota_data_14259320_primary_label_ocr.txt,"FLORA OF TEXAS
Atriplex canescens (Pursh) Nutt.
Dec. 1967
ANNOTATED BY CLYDE F. REED
Plants of
Brewster
County, Texas
Atriplex canescens (Pursh) Nuttall
Chenopodiaceae.
Black Gap Wildlife Managemsnt Area
approx. 35 miles S. SE. of Marathon.
4 ft. shrubs frequent near tank north
west of Area headquarters.
Date:
27 July 1956
Chester M. Rowell, Jr. No. 5123
of
","['FLORA', 'OF', 'TEXAS', 'Atriplex', 'canescens', '(', 'Pursh', ')', 'Nutt', '.', 'Dec.', '1967', 'ANNOTATED', 'BY', 'CLYDE', 'F.', 'REED', 'Plants', 'of', 'Brewster', 'County', ',', 'Texas', 'Atriplex', 'canescens', '(', 'Pursh', ')', 'Nuttall', 'Chenopodiaceae', '.', 'Black', 'Gap', 'Wildlife', 'Managemsnt', 'Area', 'approx', '.', '35', 'miles', 'S.', 'SE', '.', 'of', 'Marathon', '.', '4', 'ft.', 'shrubs', 'frequent', 'near', 'tank', 'north', 'west', 'of', 'Area', 'headquarters', '.', 'Date', ':', '27', 'July', '1956', 'Chester', 'M.', 'Rowell', ',', 'Jr.', 'No', '.', '5123', 'of']",55,BRIT369576,72,26,30,0.4166666666666667,0.7638888888888888
27,BRIT274528_370-symbiota_data_14229600_primary_label_ocr.txt,"PLANTS OF TEXAS
Centaurea melitensis L.
dup. det. by L. H. Shinners, l5 -XI -1961
Medina County: Highway 471 (N of US 90), at
Altitude:
San Geronimo Creek.
1000 feet,
Hillside above creek.
Edge of scrub.
Light brown
hard lime sand, possibly with some clay, w. pebbles
and cobbles, over limestone.
jul. -Zanthoxylum fag. -Condalia spp. complex,
W. Porliera ang.
Bumelia lan. -Prosopis
Perennial herb, 80 cm.
Fierce involucral spines.
Bushy upright.
Corollas yellow.
Collected by Alfred Traverse, No. 2095
9 -V -1961
","['PLANTS', 'OF', 'TEXAS', 'Centaurea', 'melitensis', 'L.', 'dup', '.', 'det', '.', 'by', 'L.', 'H.', 'Shinners', ',', 'l5', '-XI', '-1961', 'Medina', 'County', ':', 'Highway', '471', '(', 'N', 'of', 'US', '90', ')', ',', 'at', 'Altitude', ':', 'San', 'Geronimo', 'Creek', '.', '1000', 'feet', ',', 'Hillside', 'above', 'creek', '.', 'Edge', 'of', 'scrub', '.', 'Light', 'brown', 'hard', 'lime', 'sand', ',', 'possibly', 'with', 'some', 'clay', ',', 'w.', 'pebbles', 'and', 'cobbles', ',', 'over', 'limestone', '.', 'jul', '.', '-Zanthoxylum', 'fag', '.', '-Condalia', 'spp', '.', 'complex', ',', 'W.', 'Porliera', 'ang', '.', 'Bumelia', 'lan', '.', '-Prosopis', 'Perennial', 'herb', ',', '80', 'cm', '.', 'Fierce', 'involucral', 'spines', '.', 'Bushy', 'upright', '.', 'Corollas', 'yellow', '.', 'Collected', 'by', 'Alfred', 'Traverse', ',', 'No', '.', '2095', '9', '-V', '-1961']",84,BRIT274528,112,44,48,0.42857142857142855,0.75
28,BRIT534190_370-symbiota_data_24938435_primary_label_ocr.txt,"Plants of the Oklahoma Ozarks
Chaerophyllum tainturieri Hook.,
var. tainturieri
Wooded creek valley 2 mi. N. &2 W.
of Peggs on State 82.
Mayes County
Charles S. Wallis
6704
v/11/58
","['Plants', 'of', 'the', 'Oklahoma', 'Ozarks', 'Chaerophyllum', 'tainturieri', 'Hook.', ',', 'var', '.', 'tainturieri', 'Wooded', 'creek', 'valley', '2', 'mi', '.', 'N.', '&', '2', 'W.', 'of', 'Peggs', 'on', 'State', '82', '.', 'Mayes', 'County', 'Charles', 'S.', 'Wallis', '6704', 'v/11/58']",22,BRIT534190,35,10,12,0.34285714285714286,0.6285714285714286
