id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references,dataset_id
26817197,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,b84b3667-6bca-4ab7-a6d1-301af4a38215,BRIT378547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,,,,,,,,,,,,,,,,,,,,,,,,2020-10-16 08:01:24,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:b84b3667-6bca-4ab7-a6d1-301af4a38215,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26817197,370-symbiota_data
14240653,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,3f33c13c-4247-4b00-8c2d-d4ecef28bd3b,BRIT299177,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Xanthocephalum,Plantae,Magnoliophyta,,Asterales,Asteraceae,Xanthocephalum sarothrae,9048.0,(Pursh) Shinners,Xanthocephalum,,sarothrae,,,Species,,,,,,,,Barton H. Warnock,46569,1946-10-21,1946.0,10.0,21.0,294.0,,1946-10-21,,,,,,,,,,,,,,,United States,Texas,Brewster,,,,29.81195,-103.251756,,114705.0,,Jason Best (BRIT),,,,Georeferenced to county centroid with uncertainty radius that encompasses entire county.,,,,,,,,,,2020-04-11 12:38:37,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:3f33c13c-4247-4b00-8c2d-d4ecef28bd3b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14240653,370-symbiota_data
24929353,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,6141d020-6343-4878-902c-cc54d96b03f1,BRIT377375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nfn:britjb,United States,Texas,,,,,,,,,,,,,,,,,,,,,,,preprocessed,2021-02-11 14:51:21,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:6141d020-6343-4878-902c-cc54d96b03f1,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24929353,370-symbiota_data
19520989,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,b2bff8c0-914b-49a0-b2d0-dd368901fd62,BRIT383743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[no image],,,,,,,,,,,,,,United States,Texas,,,,,,,,,,,,,,,,,,,,,,,TEX4BRITJohari,2020-06-19 12:44:38,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:b2bff8c0-914b-49a0-b2d0-dd368901fd62,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19520989,370-symbiota_data
14261061,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,8fdfa9ac-b6df-48b7-946b-1ff9cf66872b,BRIT371219,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Cornales|Cornaceae|Cornus,Plantae,Magnoliophyta,,Cornales,Cornaceae,Cornus drummondii,79004.0,C. A. Mey.,Cornus,,drummondii,,,Species,,,,,,,,Hope Rogers,10,1939-05-07,1939.0,5.0,7.0,127.0,,1939-05-07,,,,,,,,,,,,,,,United States,Texas,Hill,,,,31.990684,-97.132426,,49520.0,,Jason Best (BRIT),,,,Georeferenced to county centroid with uncertainty radius that encompasses entire county.,,,,,,,,,,2020-04-11 12:22:16,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:8fdfa9ac-b6df-48b7-946b-1ff9cf66872b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14261061,370-symbiota_data
24838081,BRIT,SMU,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,3320c69e-86cb-420a-ac37-33f959a0ba87,BRIT344058,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Euphorbia,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Euphorbia missurica,64647.0,Raf.,Euphorbia,,missurica,,,Species,,,,,,,,Charles Wallis,5027,1957-07-15,1957.0,7.0,15.0,196.0,,1957-7-15,,"Low sandy area, bank of Canadian R.",,,,,,,,,,,,,United States,Texas,Roberts,,29 mi. S. of Perryton on Texas 70.,,,,,,,,,,,,,,,,,,,,TEX4BRITwzhou,2020-06-12 09:48:34,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:3320c69e-86cb-420a-ac37-33f959a0ba87,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24838081,370-symbiota_data
24932052,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,80d196c5-88a6-4112-80e8-8e7266960a61,BRIT452054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nfn:britjb,United States,Texas,,,,,,,,,,,,,,,,,,,,,,,preprocessed,2021-02-11 14:51:21,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:80d196c5-88a6-4112-80e8-8e7266960a61,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24932052,370-symbiota_data
22190877,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,2fefb805-7fbb-4c52-ad71-2ce624300116,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Campanulaceae|Triodanis,Plantae,Magnoliophyta,,Asterales,Campanulaceae,Triodanis biflora,16141.0,(Ruiz & Pav.) Greene,Triodanis,,biflora,,,Species,,,,,,,,Kimberlie Sasan,9,2019-05-12,2019.0,5.0,12.0,132.0,,,"1 meter tall, prostrate.",Wooded area.,,,,,,"Lolium perenne, , Rudbeckia hirta, under Quercus (primarily reds).",,,,,,,United States,Texas,Tarrant,Arlington,Crystal Canyon Natural Area. In the center of the park along a dirt footpath connecting concrete walkways.,,32.7746,-97.09315,WGS84,3.0,,,,,,,,,,,,,,,kimberlietx,2019-08-28 20:24:47,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:2fefb805-7fbb-4c52-ad71-2ce624300116,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22190877,370-symbiota_data
14268458,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,1c53e855-2346-4b40-9838-7eb79987bb19,BRIT348906,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus,Plantae,Magnoliophyta,,Fabales,Fabaceae,Astragalus leptocarpus,46023.0,Torr. & A. Gray,Astragalus,,leptocarpus,,,Species,,,,,,,,Ferdinand Lindheimer,35,1844-03-00,1844.0,3.0,0.0,,,1844-03-XX,,,,,,,,,,,,,,,United States,Texas,Brazos,,,,30.6608,-96.302386,,43387.0,,Jason Best (BRIT),,,,Georeferenced to county centroid with uncertainty radius that encompasses entire county.,,,,,,,,,,2020-04-11 12:12:51,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:1c53e855-2346-4b40-9838-7eb79987bb19,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14268458,370-symbiota_data
14251462,BRIT,,,fea81a47-2365-45cc-bef9-b6bbff7457e6,PreservedSpecimen,b80eac72-14db-4e28-aa70-a55d477a5d4e,BRIT332317,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Solidago,Plantae,Magnoliophyta,,Asterales,Asteraceae,Solidago petiolaris,18757.0,Aiton,Solidago,,petiolaris,,,Species,,,,,,,,C. C. Albers; R.N. Haskell,49275,1949-10-12,1949.0,10.0,12.0,285.0,,1949-10-12,,,,,,,,,,,,,,,United States,Texas,Travis,,,,30.334694,-97.781949,,46617.0,,Jason Best (BRIT),,,,Georeferenced to county centroid with uncertainty radius that encompasses entire county.,,,,,,,,,,2020-04-11 12:13:03,http://creativecommons.org/licenses/by/4.0/,Botanical Research Institute of Texas,,urn:uuid:b80eac72-14db-4e28-aa70-a55d477a5d4e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14251462,370-symbiota_data
