coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage,dataset_id
24837243,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0339000/BRIT339039.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0339000/BRIT339039.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0339000/BRIT339039_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0339000/BRIT339039_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:705a7aaa-679f-463b-a428-ee46a921bb5c,2020-03-30 10:18:53,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24837243,StillImage,Photograph,en,370-symbiota_data
24837296,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0339000/BRIT339573.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0339000/BRIT339573.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0339000/BRIT339573_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0339000/BRIT339573_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:8f7299ca-72a3-495b-9019-c8f04ae7dd83,2020-03-30 10:18:54,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24837296,StillImage,Photograph,en,370-symbiota_data
24837309,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0339000/BRIT339586.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0339000/BRIT339586.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0339000/BRIT339586_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0339000/BRIT339586_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:f6e07154-4421-4895-996e-0afd41409a05,2020-03-30 10:18:54,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24837309,StillImage,Photograph,en,370-symbiota_data
24837482,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0341000/BRIT341939.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0341000/BRIT341939.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0341000/BRIT341939_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0341000/BRIT341939_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:76c4c170-c366-48cb-8c89-73800484f95f,2020-03-30 10:18:57,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24837482,StillImage,Photograph,en,370-symbiota_data
24837488,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0341000/BRIT341945.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0341000/BRIT341945.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0341000/BRIT341945_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0341000/BRIT341945_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:1f564657-39ea-445b-9f97-679400e28410,2020-03-30 10:18:57,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24837488,StillImage,Photograph,en,370-symbiota_data
24837502,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0341000/BRIT341959.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0341000/BRIT341959.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0341000/BRIT341959_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0341000/BRIT341959_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:e5092a1e-9ae7-4827-9886-ebc7fde68da6,2020-03-30 10:18:57,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24837502,StillImage,Photograph,en,370-symbiota_data
24837561,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0342000/BRIT342083.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0342000/BRIT342083.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0342000/BRIT342083_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0342000/BRIT342083_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:080c5582-6e0b-48db-bf93-27882322d90f,2020-03-30 10:18:58,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24837561,StillImage,Photograph,en,370-symbiota_data
24838015,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0343000/BRIT343888.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0343000/BRIT343888.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0343000/BRIT343888_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0343000/BRIT343888_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:d2aa317d-1e73-47fa-84e8-a4f8a490acc1,2020-03-30 10:19:00,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24838015,StillImage,Photograph,en,370-symbiota_data
24838081,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0344000/BRIT344058.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0344000/BRIT344058.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0344000/BRIT344058_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0344000/BRIT344058_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:47696b74-b72c-4a6f-9b18-6e6902bf16f0,2020-03-30 10:19:00,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24838081,StillImage,Photograph,en,370-symbiota_data
24838290,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0345000/BRIT345427.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0345000/BRIT345427.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0345000/BRIT345427_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0345000/BRIT345427_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:c68dec2f-0a99-4331-a5ec-f1ab45d16649,2020-03-30 10:19:01,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24838290,StillImage,Photograph,en,370-symbiota_data
